Prec	Vaz	Mes	Ano
15.8	1.38	Jan	1966
20.2	4.17	Fev	1966
28.8	3.23	Mar	1966
28.8	5.53	Abr	1966
77.4	4.07	Mai	1966
133.6	3.50	Jun	1966
349.5	13.54	Jul	1966
109.7	5.68	Ago	1966
102.5	4.17	Set	1966
36.5	2.31	Out	1966
117.4	2.67	Nov	1966
115.2	2.02	Dez	1966
58.9	0.85	Jan	1967
207.5	1.48	Fev	1967
413.1	5.83	Mar	1967
188.6	4.26	Abr	1967
151.2	3.81	Mai	1967
263.9	5.63	Jun	1967
110.8	6.70	Jul	1967
93.3	4.27	Ago	1967
173.1	4.18	Set	1967
193.9	7.09	Out	1967
111.7	3.89	Nov	1967
213.0	6.01	Dez	1967
153.9	5.28	Jan	1968
262.0	7.18	Fev	1968
245.7	10.38	Mar	1968
205.9	6.27	Abr	1968
67.5	3.63	Mai	1968
105.9	3.97	Jun	1968
92.1	4.20	Jul	1968
35.7	2.68	Ago	1968
69.2	2.10	Set	1968
79.0	3.01	Out	1968
186.1	9.72	Nov	1968
9.5	10.90	Dez	1968
190.6	5.87	Jan	1969
144.7	4.68	Fev	1969
398.1	7.05	Mar	1969
96.4	3.88	Abr	1969
146.6	3.85	Mai	1969
215.8	4.23	Jun	1969
188.7	6.12	Jul	1969
111.2	4.97	Ago	1969
112.2	4.17	Set	1969
271.5	6.14	Out	1969
134.6	3.62	Nov	1969
158.5	3.75	Dez	1969
243.2	4.31	Jan	1970
220.3	4.89	Fev	1970
174.5	5.87	Mar	1970
252.5	6.23	Abr	1970
206.4	6.71	Mai	1970
242.9	8.99	Jun	1970
240.9	12.49	Jul	1970
147.2	12.34	Ago	1970
86.7	7.24	Set	1970
50.2	5.01	Out	1970
161.1	5.45	Nov	1970
12.9	2.54	Dez	1970
136.2	2.37	Jan	1971
202.6	2.26	Fev	1971
126.2	1.53	Mar	1971
255.4	2.43	Abr	1971
160.1	3.08	Mai	1971
205.3	3.26	Jun	1971
273.4	10.07	Jul	1971
158.5	6.64	Ago	1971
73.3	4.46	Set	1971
175.2	4.21	Out	1971
53.1	3.89	Nov	1971
104.5	2.25	Dez	1971
217.5	2.93	Jan	1972
132.9	2.32	Fev	1972
265.1	6.73	Mar	1972
146.5	3.64	Abr	1972
128.2	3.36	Mai	1972
243.7	5.86	Jun	1972
120.1	5.11	Jul	1972
103.5	3.68	Ago	1972
369.9	8.81	Set	1972
312.7	13.20	Out	1972
49.0	7.59	Nov	1972
98.6	7.77	Dez	1972
39.0	4.74	Jan	1973
78.2	3.64	Fev	1973
271.0	5.30	Mar	1973
124.6	5.09	Abr	1973
141.3	5.28	Mai	1973
132.9	8.60	Jun	1973
137.7	6.54	Jul	1973
61.2	5.13	Ago	1973
152.3	4.28	Set	1973
197.4	3.84	Out	1973
316.7	5.15	Nov	1973
200.4	8.39	Dez	1973
273.5	5.91	Jan	1974
190.1	6.72	Fev	1974
215.9	6.61	Mar	1974
282.4	5.47	Abr	1974
401.6	8.34	Mai	1974
95.0	7.54	Jun	1974
250.1	7.48	Jul	1974
162.4	6.38	Ago	1974
143.6	6.25	Set	1974
96.1	5.68	Out	1974
254.6	10.71	Nov	1974
184.3	11.85	Dez	1974
381.3	10.51	Jan	1975
138.4	8.67	Fev	1975
363.8	10.65	Mar	1975
160.9	7.01	Abr	1975
110.0	4.83	Mai	1975
171.6	4.73	Jun	1975
269.0	7.12	Jul	1975
348.2	10.69	Ago	1975
185.0	11.89	Set	1975
187.7	7.60	Out	1975
100.1	6.76	Nov	1975
239.9	6.84	Dez	1975
224.9	6.46	Jan	1976
318.0	7.64	Fev	1976
182.9	8.26	Mar	1976
154.7	6.85	Abr	1976
150.8	5.50	Mai	1976
228.6	5.38	Jun	1976
258.4	7.50	Jul	1976
106.8	6.54	Ago	1976
70.8	4.17	Set	1976
382.7	8.18	Out	1976
212.5	7.21	Nov	1976
71.6	5.84	Dez	1976
229.8	6.37	Jan	1977
352.5	11.08	Fev	1977
143.0	9.85	Mar	1977
339.7	7.95	Abr	1977
188.5	6.23	Mai	1977
362.4	13.41	Jun	1977
200.8	13.92	Jul	1977
100.8	7.59	Ago	1977
225.5	6.32	Set	1977
325.7	10.27	Out	1977
34.9	7.84	Nov	1977
237.4	7.60	Dez	1977
222.5	9.52	Jan	1978
235.5	12.04	Fev	1978
472.3	17.70	Mar	1978
275.3	15.45	Abr	1978
117.3	10.50	Mai	1978
223.5	11.19	Jun	1978
353.6	10.79	Jul	1978
213.9	14.88	Ago	1978
254.6	9.02	Set	1978
72.5	5.75	Out	1978
142.8	4.73	Nov	1978
138.3	5.17	Dez	1978
194.1	7.38	Jan	1979
300.9	10.79	Fev	1979
167.1	12.08	Mar	1979
