date	freshwater_discharge_m3_s	precipitation_mm_month	data_role
1966-01-01	1.38	15.80	calibration
1966-02-01	4.17	20.20	calibration
1966-03-01	3.23	28.80	calibration
1966-04-01	5.53	28.80	calibration
1966-05-01	4.07	77.40	calibration
1966-06-01	3.50	133.60	calibration
1966-07-01	13.54	349.50	calibration
1966-08-01	5.68	109.70	calibration
1966-09-01	4.17	102.50	calibration
1966-10-01	2.31	36.50	calibration
1966-11-01	2.67	117.40	calibration
1966-12-01	2.02	115.20	calibration
1967-01-01	0.85	58.90	calibration
1967-02-01	1.48	207.50	calibration
1967-03-01	5.83	413.10	calibration
1967-04-01	4.26	188.60	calibration
1967-05-01	3.81	151.20	calibration
1967-06-01	5.63	263.90	calibration
1967-07-01	6.70	110.80	calibration
1967-08-01	4.27	93.30	calibration
1967-09-01	4.18	173.10	calibration
1967-10-01	7.09	193.90	calibration
1967-11-01	3.89	111.70	calibration
1967-12-01	6.01	213.00	calibration
1968-01-01	5.28	153.90	calibration
1968-02-01	7.18	262.00	calibration
1968-03-01	10.38	245.70	calibration
1968-04-01	6.27	205.90	calibration
1968-05-01	3.63	67.50	calibration
1968-06-01	3.97	105.90	calibration
1968-07-01	4.20	92.10	calibration
1968-08-01	2.68	35.70	calibration
1968-09-01	2.10	69.20	calibration
1968-10-01	3.01	79.00	calibration
1968-11-01	9.72	186.10	calibration
1968-12-01	10.90	9.50	calibration
1969-01-01	5.87	190.60	calibration
1969-02-01	4.68	144.70	calibration
1969-03-01	7.05	398.10	calibration
1969-04-01	3.88	96.40	calibration
1969-05-01	3.85	146.60	calibration
1969-06-01	4.23	215.80	calibration
1969-07-01	6.12	188.70	calibration
1969-08-01	4.97	111.20	calibration
1969-09-01	4.17	112.20	calibration
1969-10-01	6.14	271.50	calibration
1969-11-01	3.62	134.60	calibration
1969-12-01	3.75	158.50	calibration
1970-01-01	4.31	243.20	calibration
1970-02-01	4.89	220.30	calibration
1970-03-01	5.87	174.50	calibration
1970-04-01	6.23	252.50	calibration
1970-05-01	6.71	206.40	calibration
1970-06-01	8.99	242.90	calibration
1970-07-01	12.49	240.90	calibration
1970-08-01	12.34	147.20	calibration
1970-09-01	7.24	86.70	calibration
1970-10-01	5.01	50.20	calibration
1970-11-01	5.45	161.10	calibration
1970-12-01	2.54	12.90	calibration
1971-01-01	2.37	136.20	calibration
1971-02-01	2.26	202.60	calibration
1971-03-01	1.53	126.20	calibration
1971-04-01	2.43	255.40	calibration
1971-05-01	3.08	160.10	calibration
1971-06-01	3.26	205.30	calibration
1971-07-01	10.07	273.40	calibration
1971-08-01	6.64	158.50	calibration
1971-09-01	4.46	73.30	calibration
1971-10-01	4.21	175.20	calibration
1971-11-01	3.89	53.10	calibration
1971-12-01	2.25	104.50	calibration
1972-01-01	2.93	217.50	calibration
1972-02-01	2.32	132.90	calibration
1972-03-01	6.73	265.10	calibration
1972-04-01	3.64	146.50	calibration
1972-05-01	3.36	128.20	calibration
1972-06-01	5.86	243.70	calibration
1972-07-01	5.11	120.10	calibration
1972-08-01	3.68	103.50	calibration
1972-09-01	8.81	369.90	calibration
1972-10-01	13.20	312.70	calibration
1972-11-01	7.59	49.00	calibration
1972-12-01	7.77	98.60	calibration
1973-01-01	4.74	39.00	calibration
1973-02-01	3.64	78.20	calibration
1973-03-01	5.30	271.00	calibration
1973-04-01	5.09	124.60	calibration
1973-05-01	5.28	141.30	calibration
1973-06-01	8.60	132.90	calibration
1973-07-01	6.54	137.70	calibration
1973-08-01	5.13	61.20	calibration
1973-09-01	4.28	152.30	calibration
1973-10-01	3.84	197.40	calibration
1973-11-01	5.15	316.70	calibration
1973-12-01	8.39	200.40	calibration
1974-01-01	5.91	273.50	calibration
1974-02-01	6.72	190.10	calibration
1974-03-01	6.61	215.90	calibration
1974-04-01	5.47	282.40	calibration
1974-05-01	8.34	401.60	calibration
1974-06-01	7.54	95.00	calibration
1974-07-01	7.48	250.10	calibration
1974-08-01	6.38	162.40	calibration
1974-09-01	6.25	143.60	calibration
1974-10-01	5.68	96.10	calibration
1974-11-01	10.71	254.60	calibration
1974-12-01	11.85	184.30	calibration
1975-01-01	10.51	381.30	calibration
1975-02-01	8.67	138.40	calibration
1975-03-01	10.65	363.80	calibration
1975-04-01	7.01	160.90	calibration
1975-05-01	4.83	110.00	calibration
1975-06-01	4.73	171.60	calibration
1975-07-01	7.12	269.00	calibration
1975-08-01	10.69	348.20	calibration
1975-09-01	11.89	185.00	calibration
1975-10-01	7.60	187.70	calibration
1975-11-01	6.76	100.10	calibration
1975-12-01	6.84	239.90	calibration
1976-01-01	6.46	224.90	calibration
1976-02-01	7.64	318.00	calibration
1976-03-01	8.26	182.90	calibration
1976-04-01	6.85	154.70	calibration
1976-05-01	5.50	150.80	calibration
1976-06-01	5.38	228.60	calibration
1976-07-01	7.50	258.40	calibration
1976-08-01	6.54	106.80	calibration
1976-09-01	4.17	70.80	calibration
1976-10-01	8.18	382.70	calibration
1976-11-01	7.21	212.50	calibration
1976-12-01	5.84	71.60	calibration
1977-01-01	6.37	229.80	calibration
1977-02-01	11.08	352.50	calibration
1977-03-01	9.85	143.00	calibration
1977-04-01	7.95	339.70	calibration
1977-05-01	6.23	188.50	calibration
1977-06-01	13.41	362.40	calibration
